date,account_id,isin,quantity,market_value
2026-08-07,ACC001,SE0000108656,538.76,53876
2026-08-07,ACC001,SE0000163594,522.62,52262
2026-08-07,ACC001,SE0000242455,545.84,54584
2026-08-07,ACC001,XS1111111111,552.86,55286
2026-08-07,ACC001,XS2222222222,541.93,54193
2026-08-07,ACC001,XS3333333333,525.42,52542
2026-08-07,ACC001,XS4444444444,537.28,53728
2026-08-07,ACC001,LU1111111111,566.46,56646
2026-08-07,ACC001,IE2222222222,578.81,57881
2026-08-07,ACC001,XX0000000001,545.77,54577
2026-08-07,ACC001,KY1111111111,537.41,53741
2026-08-07,ACC002,SE0000108656,573.69,57369
2026-08-07,ACC002,SE0000163594,560.89,56089
2026-08-07,ACC002,SE0000242455,552.41,55241
2026-08-07,ACC002,XS1111111111,572.66,57266
2026-08-07,ACC002,XS2222222222,557.58,55758
2026-08-07,ACC002,XS3333333333,531.7,53170
2026-08-07,ACC002,XS4444444444,541.69,54169
2026-08-07,ACC002,LU1111111111,531.43,53143
2026-08-07,ACC002,IE2222222222,540.2,54020
2026-08-07,ACC002,XX0000000001,565.98,56598
2026-08-07,ACC002,KY1111111111,564.15,56415
2026-08-07,ACC002,SE0000667925,541.52,54152
2026-08-07,ACC003,SE0000108656,1096.23,109623
2026-08-07,ACC003,SE0000163594,515.27,51527
2026-08-07,ACC003,SE0000242455,484.49,48449
2026-08-07,ACC003,XS1111111111,486.26,48626
2026-08-07,ACC003,XS2222222222,505.7,50570
2026-08-07,ACC003,XS3333333333,486.55,48655
2026-08-07,ACC003,XS4444444444,512.44,51244
2026-08-07,ACC003,LU1111111111,507.87,50787
2026-08-07,ACC003,IE2222222222,497.29,49729
2026-08-07,ACC003,XX0000000001,504.42,50442
2026-08-07,ACC003,KY1111111111,482.6,48260
2026-08-07,ACC004,SE0000108656,551.52,55152
2026-08-07,ACC004,SE0000163594,551.26,55126
2026-08-07,ACC004,SE0000242455,568.81,56881
2026-08-07,ACC004,XS1111111111,558.34,55834
2026-08-07,ACC004,XS2222222222,563.34,56334
2026-08-07,ACC004,XS3333333333,540.59,54059
2026-08-07,ACC004,XS4444444444,565.32,56532
2026-08-07,ACC004,LU1111111111,520.94,52094
2026-08-07,ACC004,IE2222222222,575.72,57572
2026-08-07,ACC004,XX0000000001,579.04,57904
2026-08-07,ACC004,KY1111111111,529.38,52938
